"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"243","blijderveer-fruit.nl",1,1,205,1,0.819512195121951,0.180487804878049,0,0,0,0,1
"244","blikaystiro.us",1,1,1,1,0,0,0,1,1,0,0
"245","blinkenlights.nl",1,1,177,1,0,0,0,1,0,0,0
"246","bluetelephony.nl",6,6,697,1,0.90674318507891,0,0,0,0,0,1
"247","bmned.com",1,2,125,0.992,0.96,0,0,0.04,0,0,0.96
"248","boa-amsterdam.nl",2,2,355,1,0.946478873239437,0,0,0,0,0,0
"249","boatnet.host",1,1,1,1,0,0,0,0,0,1,0
"250","boekhandelvingerling.nl",1,1,204,1,0.588235294117647,0.411764705882353,0,0,0,0,1
"251","boeve.nl",1,1,145,1,0.8,0.2,0,0,0,0,1
"252","bolkendebekker.nl",1,1,204,1,0.882352941176471,0.117647058823529,0,0,0,0,1
"253","boomtransport.nl",1,1,167,1,1,0,0,0,0,0,1
"254","bosgoed.nl",1,1,207,1,0,0,0,0,0,1,0
"255","bousse.fr",1,1,206,1,0,0,0,1,1,0,0
"256","bouwmanadvocaten.nl",1,1,166,1,0.891566265060241,0.108433734939759,0,0,0,0,1
"257","box.nl",50,50,8486,1,0,0,0,0,0,0,0
"258","bpgvandewal.nl",1,1,13,1,0,0,0,0,0,1,0
"259","brack-capital.com",1,1,113,1,1,0,0,0,0,0,1
"260","brandvanegmond.com",1,1,205,1,0.946341463414634,0.0536585365853659,0,0,0,0,1
"261","bransus.com",1,1,203,1,0.931034482758621,0.0689655172413793,0,0,0,0,1
"262","breedbandarnhem.nl",1,1,123,1,0.91869918699187,0.0813008130081301,0,0,0,0,1
"263","breedbanddelft.nl",6,6,791,1,0,0,0,0,0,0,0
"264","breedbandhelmond.nl",3,3,52,1,1,0,0,0,0,0,0
"265","brigtaccess.nl",1,1,8,1,0,0,0,1,0,0,0
"266","brinkman-rensen.nl",1,1,186,1,0.897849462365591,0.102150537634409,0,0,0,0,1
"267","bruck.nl",1,1,3,1,1,0,0,1,0,0,0
"268","bs2321.net",1,1,25,1,1,0,0,0,0,0,1
"269","bserved.nl",1,1,161,1,0,0,0,0,0,1,0
"270","bsgroup.nl",1,1,211,1,0.914691943127962,0.0853080568720379,0,0,0,0,1
"271","bt.net",5,5,174,1,1,0,0,0,0,0,1
"272","btcnet.nl",1,1,59,1,0.983050847457627,0,0,1,0,0,0
"273","btmilfi.trade",1,1,1,1,0,0,0,1,1,0,0
"274","btstech.nl",5,5,137,1,1,0,0,0,0,0,1
"275","burg-machinefabriek.nl",1,1,209,1,0.904306220095694,0.0956937799043062,0,0,0,0,1
"276","burgdev4.nl",1,1,16,1,0,0,0,1,1,0,0
"277","businessconnect.nl",3,3,407,1,0.955773955773956,0,0,0,0,0,1
"278","bwtadka.com",1,1,37,1,1,0,0,0,0,0,1
"279","by.coloprovider",1,9,1604,0.140897755610973,0.120324189526185,0,0,0.374064837905237,0.253740648379052,0.625935162094763,0
"280","by.pcextreme",1,14,2286,0.0993000874890639,0.0914260717410324,0.784776902887139,0.0192475940507437,0.317147856517935,0.0559930008748906,0.0485564304461942,0.634295713035871
"281","byte.it",1,1,14,1,1,0,0,0,0,0,1
"282","bytebridge.net",1,1,206,1,0,0.0145631067961165,0,0,0,0.985436893203884,0.0145631067961165
"283","cainiaojiameng.com",1,1,1,1,0,1,1,0,0,0,1
"284","caiw.nl",1,1,112,1,1,0,0,0,0,0,1
"285","caiway.nl",702,707,57343,0.991664196152974,0,0,0,0,0,0,0
"286","cambrium.nl",37,39,2125,0.988705882352941,0,0,0,0,0,0,0
"287","cappa-corporate.nl",1,1,11,1,1,0,0,0,0,0,1
"288","carat.nl",1,1,181,1,1,0,1,0,0,0,1
"289","careerfactory.nl",1,1,1,1,1,0,0,1,0,0,0
"290","caresse-cosmetics.nl",1,1,210,1,1,0,0,0,0,0,1
"291","caret.net",1,1,198,1,0,1,0,1,0,0,0
"292","caretrex-logistiek.nl",1,1,190,1,0.0157894736842105,0,0,0,0,0.984210526315789,0.0157894736842105
"293","carrier2carrier.com",5,5,914,1,1,0,0,0,0,0,1
"294","castor.nl",1,15,1779,0.127037661607645,0.91849353569421,0.0106801573917931,0,0.000562113546936481,0,0.0702641933670601,0.929173693086003
"295","castornetworks.com",1,38,3592,0.0629175946547884,0.986636971046771,0.00361915367483296,0,0.00807349665924276,0,0.00974387527839644,0.982182628062361
"296","catawiki-staging",1,1,182,1,1,0,0,0,0,0,1
"297","cathedral-networks.org",1,1,37,1,0,0,0,0,0,1,0
"298","cavdenham.nl",1,1,206,1,1,0,1,0,0,0,1
"299","cbf.nl",1,1,196,1,1,0,0,0,0,0,1
"300","cbizz.nl",54,54,7514,1,0,0,0,0,0,0,0
"301","ccare.network",1,1,205,1,0,0,0,1,1,0,0
"302","ccdd19.com",1,1,14,1,0,0,0,0,0,1,0
"303","cellcare.nl",1,1,205,1,0.897560975609756,0.102439024390244,0,0,0,0,1
"304","cemag.nl",1,1,22,1,1,0,0,0,0,0,1
"305","centrehotels.nl",1,1,203,1,1,0,1,1,1,0,0
"306","cerenta.nl",1,1,1,1,0,0,0,1,1,0,0
"307","cheap-dedicated-server.com",1,3,85,0.905882352941176,0,1,1,0,0,0,1
"308","cheapnews.eu",2,4,810,0.549382716049383,0,0,0,0,0,1,0
"309","chello.nl",973,983,96416,0.992376783936276,0,0,0,0,0,0,0
"310","cheslindo.com",2,2,60,1,0,0,0,1,1,0,0
"311","cheslindo.net",1,1,5,1,0,0,0,1,1,0,0
"312","choopa.net",3,3,340,1,0,0,0,0,0,0,0
"313","chr.router",1,1,2,1,1,0,0,1,0,0,0
